words,type,polarity
judge previous post used be good place not longer,VB JJ NN VB VB JJ NN RB JJ,0.0
be arrive noon place be empty staff act be impose be very rude,VB VB NN NN VB JJ NN VB VB VB VB RB JJ,0.0
never bring complimentary noodle ignore repeated request sugar throw dish table,RB VB JJ NN VB JJ NN NN VB NN NN,0.0
food be lousy too sweet too salty portion tiny,NN VB JJ RB JJ RB JJ NN JJ,0.0
food be lousy too sweet too salty portion tiny,NN VB JJ RB JJ RB JJ NN JJ,0.0
complain small tip,VB JJ NN,0.0
avoid place,VB NN,0.0
have eat saul many time food be always consistently outrageously good,VB VB NN JJ NN NN VB RB RB RB JJ,2.0
saul be best restaurant street brooklyn,NN VB JJ NN NN NN,2.0
duck confit be always amazing foie gra terrine fig be world,NN NN VB RB JJ NN VB NN NN VB NN,2.0
duck confit be always amazing foie gra terrine fig be world,NN NN VB RB JJ NN VB NN NN VB NN,2.0
wine list be interesting have many good value,NN NN VB JJ VB JJ JJ NN,2.0
wine list be interesting have many good value,NN NN VB JJ VB JJ JJ NN,2.0
price eat well manhattan,NN VB RB JJ,2.0
price eat well manhattan,NN VB RB JJ,2.0
be very disappoint restaurant,VB RB VB NN,0.0
ive ask cart attendant lotus leaf wrapped rice reply back rice just walk away,VB VB NN NN NN NN VB NN VB JJ NN RB VB RB,0.0
have ask time finally come back dish ive request,VB VB NN RB VB RB NN VB VB,0.0
food be okay nothing great,NN VB JJ NN JJ,1.0
chow fun be dry pork shu be more usually greasy have share table loud rude family,NN NN VB JJ NN NN VB JJ RB JJ VB NN NN JJ JJ NN,0.0
chow fun be dry pork shu be more usually greasy have share table loud rude family,NN NN VB JJ NN NN VB JJ RB JJ VB NN NN JJ JJ NN,0.0
chow fun be dry pork shu be more usually greasy have share table loud rude family,NN NN VB JJ NN NN VB JJ RB JJ VB NN NN JJ JJ NN,0.0
never go back place again,RB VB RB NN RB,0.0
go day oyster binge fish bring closing be so glad be place trip end be so great,VB NN NN NN NN VB NN VB RB JJ VB NN NN VB VB RB JJ,2.0
service be devine oyster sensual come price be beat,NN VB JJ NN JJ VB NN VB JJ,2.0
service be devine oyster sensual come price be beat,NN VB JJ NN JJ VB NN VB JJ,2.0
service be devine oyster sensual come price be beat,NN VB JJ NN JJ VB NN VB JJ,2.0
go wrong here,VB JJ RB,2.0
time new york make point visit restaurant saul street,NN NN NN VB NN VB NN VB NN,2.0
everything be always cook perfection service be excellent decor cool understate,NN VB RB VB NN NN VB JJ NN NN VB,2.0
everything be always cook perfection service be excellent decor cool understate,NN VB RB VB NN NN VB JJ NN NN VB,2.0
everything be always cook perfection service be excellent decor cool understate,NN VB RB VB NN NN VB JJ NN NN VB,2.0
have duck breast special last visit be incredible,VB NN NN JJ JJ NN VB JJ,2.0
wait next visit,VB JJ NN,2.0
hate say doubt ll ever go back,NN VB NN NN RB VB RB,0.0
food be very average thai fusion stuff be bit too sweet thing serve be too sweet here,NN VB RB VB NN NN NN VB NN RB JJ NN VB VB RB JJ RB,0.0
food be very average thai fusion stuff be bit too sweet thing serve be too sweet here,NN VB RB VB NN NN NN VB NN RB JJ NN VB VB RB JJ RB,0.0
food be very average thai fusion stuff be bit too sweet thing serve be too sweet here,NN VB RB VB NN NN NN VB NN RB JJ NN VB VB RB JJ RB,0.0
only thing moderately enjoy be grilled chicken special edamame puree,JJ NN RB VB VB JJ NN JJ NN VB,2.0
have never have edamame pureed before think be innovative tasty have used bit more salt,VB RB VB JJ NN RB VB VB JJ JJ VB VB NN JJ NN,2.0
have never have edamame pureed before think be innovative tasty have used bit more salt,VB RB VB JJ NN RB VB VB JJ JJ VB VB NN JJ NN,2.0
decor be night tho really need clean vent ceiling quite appetizing kill effort make place look sleek modern,NN VB NN NN RB VB VB NN NN RB JJ VB NN VB NN VB JJ JJ,0.0
decor be night tho really need clean vent ceiling quite appetizing kill effort make place look sleek modern,NN VB NN NN RB VB VB NN NN RB JJ VB NN VB NN VB JJ JJ,2.0
decor be night tho really need clean vent ceiling quite appetizing kill effort make place look sleek modern,NN VB NN NN RB VB VB NN NN RB JJ VB NN VB NN VB JJ JJ,0.0
sake list be extensive be look purple haze be not list make request,NN NN VB JJ VB VB JJ NN VB RB VB VB NN,2.0
sake list be extensive be look purple haze be not list make request,NN NN VB JJ VB VB JJ NN VB RB VB VB NN,2.0
spicy tuna roll be unusually good rock shrimp tempura be awesome great appetizer share,JJ NN NN VB RB JJ NN NN NN VB JJ JJ NN NN,2.0
spicy tuna roll be unusually good rock shrimp tempura be awesome great appetizer share,JJ NN NN VB RB JJ NN NN NN VB JJ JJ NN NN,2.0
go friday have die bit then service be great,VB NN VB VB NN RB NN VB JJ,2.0
love pink pony,VB JJ NN,2.0
perfect spot,JJ NN,2.0
food awesome,NN JJ,2.0
service friendly attentive,NN JJ JJ,2.0
ambiance relax stylish,NN VB JJ,2.0
don judge place prima facie have try believe home away home literate heart,VB NN NN NN NN VB VB VB NN RB NN JJ NN,2.0
food be decent,NN VB JJ,1.0
however be service leave bad taste mouth,RB VB NN VB JJ NN NN,0.0
happen have policy go little bit self respect include not let waiter intimidate make feel bad ask triviality water check,VB VB NN VB JJ NN NN NN VB RB VB NN VB VB VB JJ VB NN NN NN,0.0
know be too busy show vintage tee shirt look bored agenda be be here eat enjoy company friend seek pleasant experience,VB VB RB JJ VB NN NN NN VB JJ NN VB VB RB VB VB NN NN VB JJ NN,0.0
well do not find there trust have tell everyone think experience,RB VB RB VB RB NN VB VB NN VB NN,0.0
last time walk look pretty empty,JJ NN VB VB RB JJ,0.0
place have get be best japanese restaurant new york area,NN VB VB VB JJ JJ NN NN NN NN,2.0
have great experience,VB JJ NN,2.0
food be great,NN VB JJ,2.0
service be top notch,NN VB JJ NN,2.0
have be go back again again,VB VB VB RB RB RB,2.0
tend judge sushi restaurant sea be heavenly sushi rise,NN NN NN NN NN VB JJ NN VB,2.0
melt little mouth perfect consistency not too fishy creamy slightly buttery,VB JJ NN JJ NN RB RB JJ JJ RB JJ,2.0
sushi seem pretty fresh be adequately proportioned,NN VB RB JJ VB RB JJ,2.0
sushi seem pretty fresh be adequately proportioned,NN VB RB JJ VB RB JJ,2.0
rice fish ration be also good do not try overpack rice,NN VB NN VB RB JJ VB RB VB VB NN,2.0
take advanatage half price sushi deal saturday be well,VB NN NN NN NN NN NN VB RB,2.0
surprisingly nothing be further truth,RB NN VB RB NN,2.0
evening place attract well dress ny crowd,NN NN VB RB VB JJ NN,2.0
food be well prepared service impecable,NN VB RB JJ NN JJ,2.0
food be well prepared service impecable,NN VB RB JJ NN JJ,2.0
go back,VB RB,2.0
quite simply be step manhattan haven tranquility,RB RB VB VB JJ NN NN,2.0
prix fixe menu be worth penny get more enough quantity quality,NN JJ NN VB JJ NN VB JJ RB NN NN,2.0
prix fixe menu be worth penny get more enough quantity quality,NN JJ NN VB JJ NN VB JJ RB NN NN,2.0
prix fixe menu be worth penny get more enough quantity quality,NN JJ NN VB JJ NN VB JJ RB NN NN,2.0
be go back heartily recommend,VB VB RB RB VB,2.0
be terrific be value,VB JJ VB NN,2.0
be terrific be value,VB JJ VB NN,2.0
be much tasty food fresh continually refill,VB JJ JJ NN JJ RB VB,2.0
be much tasty food fresh continually refill,VB JJ JJ NN JJ RB VB,2.0
be much tasty food fresh continually refill,VB JJ JJ NN JJ RB VB,2.0
be not vegetarian almost dish be great,VB RB JJ RB NN VB JJ,2.0
go hungry enjoy,VB JJ NN,2.0
food here be rather good only like wait,NN RB VB RB JJ RB VB VB,2.0
food here be rather good only like wait,NN RB VB RB JJ RB VB VB,0.0
somosas chai chole dhosas dhal be kinda dissapointing,NN NN NN NN NN VB RB NN,2.0
somosas chai chole dhosas dhal be kinda dissapointing,NN NN NN NN NN VB RB NN,2.0
somosas chai chole dhosas dhal be kinda dissapointing,NN NN NN NN NN VB RB NN,2.0
somosas chai chole dhosas dhal be kinda dissapointing,NN NN NN NN NN VB RB NN,0.0
somosas chai chole dhosas dhal be kinda dissapointing,NN NN NN NN NN VB RB NN,0.0
service varys day day sometimes be very nice sometimes not,NN NN NN NN RB VB RB JJ RB RB,0.0
kitchen however be almost always slow,NN RB VB RB RB VB,0.0
also specify food spicy rather bland don,RB VB NN JJ RB JJ VB,0.0
ambience be pretty nice conversation casual lunch here probably be best,NN VB RB JJ NN JJ NN RB RB VB RB,2.0
ambience be pretty nice conversation casual lunch here probably be best,NN VB RB JJ NN JJ NN RB RB VB RB,2.0
have ever be river weehawken have idea top view chart house have offer,VB RB VB NN VB VB NN NN NN NN NN VB VB,2.0
add great service great food reasonable price have begin great evening,VB JJ NN JJ NN JJ NN VB VB JJ NN,2.0
add great service great food reasonable price have begin great evening,VB JJ NN JJ NN JJ NN VB VB JJ NN,2.0
add great service great food reasonable price have begin great evening,VB JJ NN JJ NN JJ NN VB VB JJ NN,2.0
lava cake dessert be incredible recommend,NN NN NN VB JJ VB,2.0
step cosette be miraculously small beaten path parisian bistro,VB NN VB RB JJ JJ NN NN NN,2.0
tiny restaurant be cozy get certain parisian flair,JJ NN VB JJ VB JJ JJ NN,2.0
food be average above french onion soup fill yet not overly impressive dessert not brilliant way,NN VB JJ VB JJ NN NN VB RB RB RB JJ NN RB JJ NN,2.0
food be average above french onion soup fill yet not overly impressive dessert not brilliant way,NN VB JJ VB JJ NN NN VB RB RB RB JJ NN RB JJ NN,0.0
food be average above french onion soup fill yet not overly impressive dessert not brilliant way,NN VB JJ VB JJ NN NN VB RB RB RB JJ NN RB JJ NN,2.0
food be average above french onion soup fill yet not overly impressive dessert not brilliant way,NN VB JJ VB JJ NN NN VB RB RB RB JJ NN RB JJ NN,0.0
however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN,2.0
however go ambience consider food just companion trip world,RB VB NN VB NN RB NN NN NN,1.0
be horrible,VB JJ,0.0
pizza be deliver cold cheese be not even fully melt,NN VB VB NN NN VB RB RB RB VB,0.0
pizza be deliver cold cheese be not even fully melt,NN VB VB NN NN VB RB RB RB VB,0.0
look shredded cheese partly do still strip,VB JJ NN RB VB RB NN,0.0
have get be most overrate restaurant brooklyn,VB VB VB RB VB NN NN,0.0
pizza be overpriced soggy,NN VB JJ JJ,0.0
pizza be overpriced soggy,NN VB JJ JJ,0.0
yes use fancy ingredient even fancy ingredient do not make good pizza someone know get crust right,RB VB JJ NN RB JJ NN VB RB VB JJ NN NN VB VB NN RB,2.0
yes use fancy ingredient even fancy ingredient do not make good pizza someone know get crust right,RB VB JJ NN RB JJ NN VB RB VB JJ NN NN VB VB NN RB,0.0
yes use fancy ingredient even fancy ingredient do not make good pizza someone know get crust right,RB VB JJ NN RB JJ NN VB RB VB JJ NN NN VB VB NN RB,0.0
big disappointment,JJ NN,0.0
think ve have best meal life minnow,VB NN VB JJ NN NN RB,2.0
seafood be amazing be good wine list ever change menu always offer great surprise,NN VB JJ VB JJ NN NN RB VB NN RB VB JJ NN,2.0
seafood be amazing be good wine list ever change menu always offer great surprise,NN VB JJ VB JJ NN NN RB VB NN RB VB JJ NN,2.0
seafood be amazing be good wine list ever change menu always offer great surprise,NN VB JJ VB JJ NN NN RB VB NN RB VB JJ NN,2.0
combination super fresh ingredient dish be unusual really delicious,NN JJ JJ NN NN VB JJ RB JJ,2.0
trip manhattan,NN JJ,2.0
