rating,tips,cat_name,cat_parent
9.3,"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.",Aquarium,
7.5,"Enter our prize draw to win a family ticket to Sea Life. And if you don’t win, not to worry! Simply grab yourself a free 2 for 1 voucher and get 2 for 1 entry to any Sea Life location across the UK.",Aquarium,
6.3,"If you're pressed for time, head to Hall 2 for the corals; the Amazonian exhibit in Hall 3 is not that exciting.",Aquarium,
7.7,Sea lion shows at 12pm and 3pm daily,Aquarium,
7.5,The Penguin auditorium is over rated. ...not that good to be honest...,Aquarium,
8.4,"Great place for beer and video games, both arcade and console formats (Sega, Nintendo and Sony). Good outdoor seating by the canal :D",Arcade,
6.2,Free foosball in the bar!,Arcade,
6.1,Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,Arcade,
7.2,Including STATE OF THE ART arcade,Bowling Alley,
5.7,"Bar staff don't know how to work a bar, slow & clueless.",Bowling Alley,
7.2,Buy any third game for just £1 (pp),Bowling Alley,
6.7,Great milkshakes - Reese's & Oreo are both a hit.,Bowling Alley,
6.2,Free foosball in the bar!,Bowling Alley,
5.3,"Book in advance, lanes get filled quick! Especially on the weekends.",Bowling Alley,
5.8,Quiet like a graveyard on a Thursday night. Bar staff are hopeless at making drinks.,Bowling Alley,
6.1,Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,Bowling Alley,
6.2,Free foosball in the bar!,Bowling Alley,
6.7,"Crowdy place, average options of beer. Quite poor burgers for its price, but good tasty salad. Go there just for waiting for your lane, otherwise there are better places around",Bowling Alley,
8.6,"Cool gallery, worth a visit",Art Gallery,
8.6,"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.",Art Gallery,
8.2,"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.",Art Gallery,
8.9,"Really good coffee, if its busy its still worth the wait. Great food too, friendly staff and amazing windows upstairs... Shame about the view!",Art Gallery,
8.3,The pizzas look amazing. Will be back to try ...  And cheap good prosecco,Art Gallery,
7.8,Nice little gallery with rotating exhibitions.,Art Gallery,
7.6,Nice historic images of London. It's worth popping in.,Art Gallery,
7.2,"If you love bands but want something different in the way of artwork to represent your love for them, this is the place to go. Limited ed prints. Tour posters with a twist. It has it all!",Art Gallery,
8.3,"Lovely community centre. Sometimes open to the public as a bar. Local bands play and the wine is nice. Nice informal, don't feel rushed.",Art Gallery,
6.7,"The world’s only museum dedicated to fans. It’s a tiny space consisting of two rooms with an overall collection of 3,500 antique fans, some of which date as far back as the eleventh century.",Art Gallery,
6.2,Tell people that the toilet in the end police cell is haunted and then flush the loo from the outside while they're in there. Mwa ha haaaaaa!,Art Gallery,
