rating,tips,cat_name,cat_parent
,,Amphitheater,
,,Amphitheater,
9.3,"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.",Aquarium,
,Love this place my new local shop,Aquarium,
7.5,"Enter our prize draw to win a family ticket to Sea Life. And if you don’t win, not to worry! Simply grab yourself a free 2 for 1 voucher and get 2 for 1 entry to any Sea Life location across the UK.",Aquarium,
,,Aquarium,
6.3,"If you're pressed for time, head to Hall 2 for the corals; the Amazonian exhibit in Hall 3 is not that exciting.",Aquarium,
,,Aquarium,
7.7,Sea lion shows at 12pm and 3pm daily,Aquarium,
7.5,The Penguin auditorium is over rated. ...not that good to be honest...,Aquarium,
8.4,"Great place for beer and video games, both arcade and console formats (Sega, Nintendo and Sony). Good outdoor seating by the canal :D",Arcade,
6.2,Free foosball in the bar!,Arcade,
6.1,Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,Arcade,
,,Arcade,
7.2,Including STATE OF THE ART arcade,Bowling Alley,
5.7,"Bar staff don't know how to work a bar, slow & clueless.",Bowling Alley,
7.2,Buy any third game for just £1 (pp),Bowling Alley,
6.7,Great milkshakes - Reese's & Oreo are both a hit.,Bowling Alley,
6.2,Free foosball in the bar!,Bowling Alley,
5.3,"Book in advance, lanes get filled quick! Especially on the weekends.",Bowling Alley,
5.8,Quiet like a graveyard on a Thursday night. Bar staff are hopeless at making drinks.,Bowling Alley,
6.1,Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,Bowling Alley,
5.6,,Bowling Alley,
6.2,Free foosball in the bar!,Bowling Alley,
6.7,"Crowdy place, average options of beer. Quite poor burgers for its price, but good tasty salad. Go there just for waiting for your lane, otherwise there are better places around",Bowling Alley,
,"Cheap, average quality and clean.",Breakfast Spot,
7.3,"Nice small place, with a couple of tables outside too. Pizza to forget, but the mushroom soup was delicious",Breakfast Spot,
6.8,Any takeaway coffee you like is only a quid! and Bacon roll is same!,Breakfast Spot,
7.8,"They have a wonderful polaroid wall, visit them a few times and you might get your picture up there! They also have a great collection of design and photography books. Best cafe in Newham. By far!",Breakfast Spot,
7.9,I'm in love with this place! They make the best scones! That coffee and my favorite hazelnut spread.. omg they make my day when I have the breakfast here;) not to mention croissants.. ;),Breakfast Spot,
9.2,Amazing breakfast spot with superb view 😍,Breakfast Spot,
8.8,Lose the split and knife scored wooden chopping boards. I like smooth clean plates.,Breakfast Spot,
8.7,Great coffee and all day brunch,Breakfast Spot,
8.2,Lovely place to have breakfast,Breakfast Spot,
7.3,"Already so crowded and have to wait in a queue like all the other breakfast clubs, who knew this would happen in canary wharf",Breakfast Spot,
7.8,"Doesn't look like much from the outside but serves STUNNING food and coffee. Space inside is limited so get there early(ish)! Oh, and get the shakshuka.",Breakfast Spot,
9.2,"Don't let the unmarked back alley scare you, this is one of the best brunch cafes in London! Cosy, off the street, friendly, and great seating inside and outside. Go early.",Breakfast Spot,
7.0,A great place to have your car breakdown. Good prices for tea and bacon rolls and it  is where the RAC vans hide.,Breakfast Spot,
7.4,"Great brunch, love the All American!! You should expect a queue... but totally worth the wait.",Breakfast Spot,
7.2,Great menu all cultures,Breakfast Spot,
7.4,"I'm always fascinated by how much trendy coffee shops can push the price of Avocado toast made of one piece of sourdough bread. I think Mother is winning so far. Very small, £6 and was well spicy 🔥",Breakfast Spot,
7.5,Their Turkish breakfast has been the highlight of moving to the area! Tiny place but a real hidden gem. Coffee is amazing too!,Breakfast Spot,
7.5,Lovely coffee on the sunny side of the road. Best Belgian Earl Grey chocolate in stock!,Breakfast Spot,
6.8,"You can pay by Pingit or Paypal now. Cosy inside and family run service. London ""caf"" style food. Very cheap.",Breakfast Spot,
,"Very clean, nice food and good value for money.",Breakfast Spot,
,There's plenty of awards on the walls here.,Breakfast Spot,
6.5,Half price  beer   is always  good thing,Breakfast Spot,
,Usually order the steak and it is quite nice.,Breakfast Spot,
,"Nice breakfast,  curry's ok too",Breakfast Spot,
,The food is great here.  And the staff are really friendy,Breakfast Spot,
,,Breakfast Spot,
,The best mushrooms i've ever eat:-),Breakfast Spot,
,A great Portuguese food ;),Breakfast Spot,
,,Breakfast Spot,
,,Breakfast Spot,
5.6,Book online and pick up to avoid long queue for custom slads.,Breakfast Spot,
,,Breakfast Spot,
,Good brunch options,Breakfast Spot,
,Top homemade Shepard's Pie.,Breakfast Spot,
,"Cheap, average quality and clean.",Breakfast Spot,
,Latte is very nice. You should try!,Breakfast Spot,
,Chicken burger here is terrible :@,Breakfast Spot,
6.8,small Italy with a pleasant square in front to chill if the weather's good/don't  forget to take cash with you (no cards accepted)/free local delivery and buffet service available,Breakfast Spot,
7.3,"Nice small place, with a couple of tables outside too. Pizza to forget, but the mushroom soup was delicious",Breakfast Spot,
7.3,"Nice small place, with a couple of tables outside too. Pizza to forget, but the mushroom soup was delicious",Breakfast Spot,
6.5,Great wraps!,Breakfast Spot,
7.3,Cool spot to hang out in Canary Wharf - but the toilets are a pretty good example of typical British skimping and saving in building construction.,Breakfast Spot,
6.4,Brilliant greasy spoon right opposite the Pentonville Prison. Cheap but very tasty,Breakfast Spot,
7.3,This one is better than the Liverpool street one. Go for pancakes with berries - you won't regret. Good smoothies. Too much noise tho,Breakfast Spot,
8.6,"Cool gallery, worth a visit",Art Gallery,
8.6,"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.",Art Gallery,
8.2,"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.",Art Gallery,
8.9,"Really good coffee, if its busy its still worth the wait. Great food too, friendly staff and amazing windows upstairs... Shame about the view!",Art Gallery,
8.3,The pizzas look amazing. Will be back to try ...  And cheap good prosecco,Art Gallery,
7.8,Nice little gallery with rotating exhibitions.,Art Gallery,
7.6,Nice historic images of London. It's worth popping in.,Art Gallery,
7.2,"If you love bands but want something different in the way of artwork to represent your love for them, this is the place to go. Limited ed prints. Tour posters with a twist. It has it all!",Art Gallery,
7.2,,Art Gallery,
8.3,"Lovely community centre. Sometimes open to the public as a bar. Local bands play and the wine is nice. Nice informal, don't feel rushed.",Art Gallery,
7.4,,Art Gallery,
6.7,"The world’s only museum dedicated to fans. It’s a tiny space consisting of two rooms with an overall collection of 3,500 antique fans, some of which date as far back as the eleventh century.",Art Gallery,
6.2,Tell people that the toilet in the end police cell is haunted and then flush the loo from the outside while they're in there. Mwa ha haaaaaa!,Art Gallery,
,Magical place for weekend trip. Great for music lovers! You can also go on top of the lighthouse and have a view of Canary Wharf skyscrapers 💓,Art Gallery,
,,Art Gallery,
,,Art Gallery,
,Be sure to visit the roof terrace for great views.,Art Gallery,
,,Art Gallery,
,,Art Gallery,
,,Art Gallery,
,Super interesting gallery nearby the canal!,Art Gallery,
,,Art Gallery,
7.8,"Art off the beaten track in Bow, East London, just keep an eye on their schedule of exhibits - http://www.bowarts.org/nunnery",Art Gallery,
8.6,"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.",Art Gallery,
8.2,"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.",Art Gallery,
7.2,,Art Gallery,
9.0,A beautiful gallery and in the heart of Walthamstow. An absolute must see.,Art Gallery,
8.8,"""You never know what to expect at the original east London gallery. Since 1901, it has shown modern artists from Barbara Hepworth to Nan Goldin, Jackson Pollock and David Hockney...""",Art Gallery,
