level1_name,level1_id,level2_name,level2_id,level3_name,level3_id,level4_name,level4_id
Arts & Entertainment,4d4b7104d754a06370d81259,Amphitheaters,56aa371be4b08b9a8d5734db,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Aquariums,4fceea171983d5d06c3e9823,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Arcades,4bf58dd8d48988d1e1931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Art Galleries,4bf58dd8d48988d1e2931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Bowling Alleys,4bf58dd8d48988d1e4931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Casinos,4bf58dd8d48988d17c941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Circuses,52e81612bcbc57f1066b79e7,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Comedy Clubs,4bf58dd8d48988d18e941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Concert Halls,5032792091d4c4b30a586d5c,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Country Dance Clubs,52e81612bcbc57f1066b79ef,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Disc Golf Courses,52e81612bcbc57f1066b79e8,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Exhibits,56aa371be4b08b9a8d573532,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,General Entertainment,4bf58dd8d48988d1f1931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Go Kart Tracks,52e81612bcbc57f1066b79ea,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Historic Sites,4deefb944765f83613cdba6e,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Laser Tag Places,52e81612bcbc57f1066b79e6,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Memorial Sites,5642206c498e4bfca532186c,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Mini Golf Courses,52e81612bcbc57f1066b79eb,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,Drive-in Theaters,56aa371be4b08b9a8d5734de,,
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,Indie Movie Theaters,4bf58dd8d48988d17e941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,Multiplexes,4bf58dd8d48988d180941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theaters,4bf58dd8d48988d17f941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Art Museums,4bf58dd8d48988d18f941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Erotic Museums,559acbe0498e472f1a53fa23,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,History Museums,4bf58dd8d48988d190941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Planetariums,4bf58dd8d48988d192941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,Science Museums,4bf58dd8d48988d191941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museums,4bf58dd8d48988d181941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,Jazz Clubs,4bf58dd8d48988d1e7931735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,Piano Bars,4bf58dd8d48988d1e8931735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,Rock Clubs,4bf58dd8d48988d1e9931735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venues,4bf58dd8d48988d1e5931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Dance Studios,4bf58dd8d48988d134941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Indie Theaters,4bf58dd8d48988d135941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Opera Houses,4bf58dd8d48988d136941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,Theaters,4bf58dd8d48988d137941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venues,4bf58dd8d48988d1f2931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Pool Halls,4bf58dd8d48988d1e3931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,Outdoor Sculptures,52e81612bcbc57f1066b79ed,,
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,Street Art Installations,52e81612bcbc57f1066b79ee,,
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Racecourses,56aa371be4b08b9a8d573514,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Racetracks,4bf58dd8d48988d1f4931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Roller Rinks,52e81612bcbc57f1066b79e9,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Salsa Clubs,52e81612bcbc57f1066b79ec,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Samba Schools,56aa371be4b08b9a8d5734f9,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Baseball Stadiums,4bf58dd8d48988d18c941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Basketball Stadiums,4bf58dd8d48988d18b941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Cricket Grounds,4bf58dd8d48988d18a941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Football Stadiums,4bf58dd8d48988d189941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Hockey Arenas,4bf58dd8d48988d185941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Rugby Stadiums,56aa371be4b08b9a8d573556,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Soccer Stadiums,4bf58dd8d48988d188941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Tennis Stadiums,4e39a891bd410d7aed40cbc2,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,Track Stadiums,4bf58dd8d48988d187941735,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadiums,4bf58dd8d48988d184941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Theme Parks,4bf58dd8d48988d182941735,Theme Park Rides/Attractions,5109983191d435c0d71c2bb1,,
Arts & Entertainment,4d4b7104d754a06370d81259,Theme Parks,4bf58dd8d48988d182941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Tour Providers,56aa371be4b08b9a8d573520,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Water Parks,4bf58dd8d48988d193941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Zoos,4bf58dd8d48988d17b941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,,,,,,
