tips,ll,lng,lat,clean_stem,lem_words,lem_type
"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.","51.4409815123,-0.0613689422607",51.4409815123,51.4409815123,"[great, fun, everyon, aquarium, worth, small, fee, enter, dure, summer, jazz, band, play, bandstand]",great fun be have everyone aquarium be small fee enter summer have jazz band play bandstand,JJ NN VB VB NN NN VB JJ NN VB NN VB NN NN VB NN
Love this place my new local shop,"51.4669013,0.0528256",51.4669013,51.4669013,"[love, thi, place, new, local, shop]",love place new local shop,VB NN JJ JJ NN
"Enter our prize draw to win a family ticket to Sea Life. And if you don’t win, not to worry! Simply grab yourself a free 2 for 1 voucher and get 2 for 1 entry to any Sea Life location across the UK.","51.501711493,-0.119767368051",51.501711493,51.501711493,"[enter, prize, draw, win, famili, ticket, sea, life, win, worri, simpli, grab, free, voucher, get, entri, ani, sea, life, locat, across, uk]",prize draw win family ticket sea life don win not worry simply grab free voucher get entry sea life location uk,NN NN VB NN NN NN NN VB VB RB VB RB VB JJ NN VB NN NN NN NN NN
"If you're pressed for time, head to Hall 2 for the corals; the Amazonian exhibit in Hall 3 is not that exciting.","51.5352960617,-0.155888708427",51.5352960617,51.5352960617,"[press, time, head, hall, coral, amazonian, exhibit, hall, excit]",be press time head hall coral amazonian exhibit hall be not exciting,VB VB NN NN NN NN JJ NN NN VB RB JJ
Sea lion shows at 12pm and 3pm daily,"51.3495168852,-0.315634863588",51.3495168852,51.3495168852,"[sea, lion, show, daili]",sea lion show pm pm daily,NN NN VB NN NN RB
"Great place for beer and video games, both arcade and console formats (Sega, Nintendo and Sony). Good outdoor seating by the canal :D","51.5469033096,-0.0243907579104",51.5469033096,51.5469033096,"[great, place, beer, video, game, arcad, consol, format, sega, nintendo, soni, good, outdoor, seat, canal]",great place beer video game arcade console format sega nintendo sony good outdoor seating canal,JJ NN NN JJ NN NN VB NN VB RB NN JJ JJ NN NN
Free foosball in the bar!,"51.575568781,0.179667461709",51.575568781,51.575568781,"[free, foosbal, bar]",free foosball bar,JJ NN NN
Including STATE OF THE ART arcade,"51.4627149497,-0.0085972969013",51.4627149497,51.4627149497,"[includ, state, art, arcad]",include state art arcade,VB NN NN NN
Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,"51.4963091031,-0.0430503430566",51.4963091031,51.4963091031,"[realli, good, valu, money, hold, birthday, parti, littl, one, bowl, shoe, red, black, go, colour, fine]",really good value money hold birthday party little one bowling shoe be red black go colour be fine,RB JJ NN NN VB NN NN JJ NN NN NN VB JJ JJ VB NN VB JJ
"Cheap, average quality and clean.","51.5258536199,-0.0313950544747",51.5258536199,51.5258536199,"[cheap, averag, qualiti, clean]",cheap average quality clean,JJ NN NN JJ
