venue_name,venue_id,rating,tips,cat_name,cat_id,ll
Rish Mix,56b39c20498ea8fecd563d3d,,,Amphitheater,56aa371be4b08b9a8d5734db,"51.523882,-0.068887"
Garden Marquee,56e3505d498e40af95d08042,,,Amphitheater,56aa371be4b08b9a8d5734db,"51.526064,-0.13527"
Horniman Museum and Gardens,4ac518d2f964a52045a720e3,9.3,"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.",Aquarium,4fceea171983d5d06c3e9823,"51.4409815123,-0.0613689422607"
Castle Aquatics,4e3d4fe4483b04e17a93bad1,,Love this place my new local shop,Aquarium,4fceea171983d5d06c3e9823,"51.4669013,0.0528256"
Sea Life London Aquarium,4bdd45a2645e0f47f3346b19,7.5,"Enter our prize draw to win a family ticket to Sea Life. And if you don’t win, not to worry! Simply grab yourself a free 2 for 1 voucher and get 2 for 1 entry to any Sea Life location across the UK.",Aquarium,4fceea171983d5d06c3e9823,"51.501711493,-0.119767368051"
The Horniman Aquarium,561d242d498ed8ec10cd44eb,,,Aquarium,4fceea171983d5d06c3e9823,"51.4416502929,-0.0610687114109"
Aquarium,4fb778a1e4b08bf8635aa592,6.3,"If you're pressed for time, head to Hall 2 for the corals; the Amazonian exhibit in Hall 3 is not that exciting.",Aquarium,4fceea171983d5d06c3e9823,"51.5352960617,-0.155888708427"
Tranquil Waters Aquatic Centre,59ca5b3a2e268023f33fbee9,,,Aquarium,4fceea171983d5d06c3e9823,"51.7080116,0.2856697"
Sea Life,4c7e58d85af8b60c74209210,7.7,Sea lion shows at 12pm and 3pm daily,Aquarium,4fceea171983d5d06c3e9823,"51.3495168852,-0.315634863588"
Four Quarters East,589cc36704f4d750f0c06ea0,8.4,"Great place for beer and video games, both arcade and console formats (Sega, Nintendo and Sony). Good outdoor seating by the canal :D",Arcade,4bf58dd8d48988d1e1931735,"51.5469033096,-0.0243907579104"
Namco Funscape,4d31c11ceefa8cfa20d22eb3,6.2,Free foosball in the bar!,Arcade,4bf58dd8d48988d1e1931735,"51.575568781,0.179667461709"
MFA Bowl,4be586c22457a5935d8fab15,7.2,Including STATE OF THE ART arcade,Bowling Alley,4bf58dd8d48988d1e4931735,"51.4627149497,-0.0085972969013"
Hollywood Bowl,4b07ebe1f964a520250123e3,6.1,Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,Arcade,4bf58dd8d48988d1e1931735,"51.4963091031,-0.0430503430566"
Boheme London,4d49713cf2cc6a316d13b688,,,Arcade,4bf58dd8d48988d1e1931735,"51.5226374128,-0.0389193915909"
Gardiners Sandwich Shop,4b7bb317f964a5203c6b2fe3,,"Cheap, average quality and clean.",Breakfast Spot,4bf58dd8d48988d143941735,"51.5258536199,-0.0313950544747"
NOW Gallery,5454e529498ef0cd9c836e92,8.6,"Cool gallery, worth a visit",Art Gallery,4bf58dd8d48988d1e2931735,"51.500323233,0.00465396977695"
Painted Hall,4bbdb641a8cf76b0bf0bb2fd,8.6,"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.",Art Gallery,4bf58dd8d48988d1e2931735,"51.4829669049,-0.00609366277314"
Queen's House,4ac518d1f964a520bda620e3,8.2,"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.",Art Gallery,4bf58dd8d48988d1e2931735,"51.4812759906,-0.00394821166992"
Stour Space,4c4de89fc1f5ef3b575211ab,8.9,"Really good coffee, if its busy its still worth the wait. Great food too, friendly staff and amazing windows upstairs... Shame about the view!",Art Gallery,4bf58dd8d48988d1e2931735,"51.5400824936,-0.0209389374755"
The White Building,4fbe78b4e4b0a3912ddfb4b9,8.3,The pizzas look amazing. Will be back to try ...  And cheap good prosecco,Art Gallery,4bf58dd8d48988d1e2931735,"51.543053251,-0.0220629993382"
The Nunnery,4c10bc495a43d13aaecb174b,7.8,Nice little gallery with rotating exhibitions.,Art Gallery,4bf58dd8d48988d1e2931735,"51.5292141882,-0.0169734915194"
Getty Images Gallery,4e6f64c4fa765666a2e1630e,7.6,Nice historic images of London. It's worth popping in.,Art Gallery,4bf58dd8d48988d1e2931735,"51.5433047834,-0.00827849188575"
Husk Coffee,4cfe9c0959c7b60c5826a077,8.7,"Great coffee, very reasonably priced small foods, great cake. Lovely place to work",Coffee Shop,4bf58dd8d48988d1e0931735,"51.5126513276,-0.0385495885481"
The Flood Gallery,4f367c26e4b08533d13cb432,7.2,"If you love bands but want something different in the way of artwork to represent your love for them, this is the place to go. Limited ed prints. Tour posters with a twist. It has it all!",Art Gallery,4bf58dd8d48988d1e2931735,"51.4816676005,-0.00909757663917"
Ranger's House - The Wernher Collection,4cdd6fa4901e9eb088bfc2ef,7.2,,Art Gallery,4bf58dd8d48988d1e2931735,"51.4734440474,-0.00197024509961"
Chats Palace Art Centre,4e61196aae60e9edf529a6cd,8.3,"Lovely community centre. Sometimes open to the public as a bar. Local bands play and the wine is nice. Nice informal, don't feel rushed.",Art Gallery,4bf58dd8d48988d1e2931735,"51.5502521975,-0.0429009357443"
View Tube,4baf56a3f964a520ebf83be3,7.3,Fantastic brunch. Great coffee and local beer. Amazing hot chocolate. Love it here.,Event Space,4bf58dd8d48988d171941735,"51.5353874141,-0.0132037689468"
Chisenhale Gallery,4dcd5034b0fb25f6e326fe55,7.4,,Art Gallery,4bf58dd8d48988d1e2931735,"51.533351352,-0.0398672224535"
The Orangery At The Fan Museum,4ac518d3f964a52068a720e3,6.7,"The world’s only museum dedicated to fans. It’s a tiny space consisting of two rooms with an overall collection of 3,500 antique fans, some of which date as far back as the eleventh century.",Art Gallery,4bf58dd8d48988d1e2931735,"51.4792666151,-0.00799764466221"
Carmelite Café,5002b53ce4b093944cf0954c,8.7,Atm there's Bao-Hoo art show at the gallery next door,Café,4bf58dd8d48988d16d941735,"51.5290326145,-0.0178915234045"
Old Police Station,4c1a69bcc09ed13a324d828e,6.2,Tell people that the toilet in the end police cell is haunted and then flush the loo from the outside while they're in there. Mwa ha haaaaaa!,Art Gallery,4bf58dd8d48988d1e2931735,"51.4794793158,-0.0317190910236"
Ladywell Tavern,4b08f77ef964a5209e1323e3,8.2,Great landlord has injected new life in to this place. Traditional boozer. Lewisham's Pub of the Year 2010. Basement art gallery called Tank too.,Pub,4bf58dd8d48988d11b941735,"51.4564845734,-0.0215023055214"
The Lighthouse,4f8ade35e4b0af04c1cf3714,,Magical place for weekend trip. Great for music lovers! You can also go on top of the lighthouse and have a view of Canary Wharf skyscrapers 💓,Art Gallery,4bf58dd8d48988d1e2931735,"51.5077109093,0.00820328504559"
Huddle Studios,55159e66498e3df969dc5197,,,Art Gallery,4bf58dd8d48988d1e2931735,"51.5463967645,0.00516057014465"
Bow Arts Trust,4c977db9f7cfa1cd49d4ce15,,Lovely light airy studios and an Arts Award training centre. The Nunnery in particular is a wonderful space for gallery exhibitions and events.,Office,4bf58dd8d48988d124941735,"51.5289472449,-0.0175755939443"
Cockpit Arts,4dfb9c82c65b729732b4f528,,,Art Gallery,4bf58dd8d48988d1e2931735,"51.4784954888,-0.0207885013576"
Forman's Smokehouse Gallery,4deb873688774880e3380faf,,Be sure to visit the roof terrace for great views.,Art Gallery,4bf58dd8d48988d1e2931735,"51.539364,-0.02144"
Queens Yard,4e73b80ffa76812398fd3270,,,Art Gallery,4bf58dd8d48988d1e2931735,"51.5431337785,-0.0238708897204"
Matt's Gallery,4ff06b5ae4b0c635658a0dcf,,,Art Gallery,4bf58dd8d48988d1e2931735,"51.519126854,-0.0359482886912"
BELLAHEYI,567e8bae498e639d1dd832af,,,Art Gallery,4bf58dd8d48988d1e2931735,"51.5235013,-0.0381255"
Mile End Art Pavillion,4d989d4cb188721e87c12b37,,Super interesting gallery nearby the canal!,Art Gallery,4bf58dd8d48988d1e2931735,"51.5267560654,-0.03790964228"
The Old Baths,5014227fe4b07f20b33aad46,,,Art Gallery,4bf58dd8d48988d1e2931735,"51.5471090009,-0.029182434082"
Magus & the Fool - Art Café,58553f78f5bfab4aa589f525,,The new breakfast frontier! The food is amazing and the atmosphere is very good. Amazing staff. Highly recommended!!!,Coffee Shop,4bf58dd8d48988d1e0931735,"51.531273705,-0.0386023521423"
Namco Funscape,4cc4581a3d7fa1cd693fab5f,5.7,"Bar staff don't know how to work a bar, slow & clueless.",Bowling Alley,4bf58dd8d48988d1e4931735,"51.5326713029,0.137593099739"
MFA Bowl,4be586c22457a5935d8fab15,7.2,Buy any third game for just £1 (pp),Bowling Alley,4bf58dd8d48988d1e4931735,"51.4627149497,-0.0085972969013"
All Star Lanes,4e74d848483b0cf5ec794bdf,6.7,Great milkshakes - Reese's & Oreo are both a hit.,Bowling Alley,4bf58dd8d48988d1e4931735,"51.5427293308,-0.00726056378661"
Namco Funscape,4d31c11ceefa8cfa20d22eb3,6.2,Free foosball in the bar!,Bowling Alley,4bf58dd8d48988d1e4931735,"51.575568781,0.179667461709"
Showcase Cinema Newham,4b5b03aff964a520efde28e3,6.8,"Trinity Chapel Church is also located in Jenkins Lane, at the former bowling alley....",Multiplex,4bf58dd8d48988d180941735,"51.5264329978,0.0804568928427"
Tenpin Bowling,4c399baa2c8020a173f78c00,5.3,"Book in advance, lanes get filled quick! Especially on the weekends.",Bowling Alley,4bf58dd8d48988d1e4931735,"51.4567017283,0.138167681493"
Hollywood Bowl,594702f808815818eaf9d49c,5.8,Quiet like a graveyard on a Thursday night. Bar staff are hopeless at making drinks.,Bowling Alley,4bf58dd8d48988d1e4931735,"51.5036271483,0.00328302383423"
Hollywood Bowl,4b07ebe1f964a520250123e3,6.1,Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,Bowling Alley,4bf58dd8d48988d1e4931735,"51.4963091031,-0.0430503430566"
City Pavilion,4c5410524623be9a2c6028f2,5.6,,Bowling Alley,4bf58dd8d48988d1e4931735,"51.5926915775,0.14361170829"
Aspers Casino,4ebd0869b6341bd7890875ba,5.7,you can trade here with john lewis pillows,Casino,4bf58dd8d48988d17c941735,"51.5426501912,-0.00641376614963"
Martin Williams Casino Equipment Ltd.: London Casino,5858ff3072714f34b34a142d,,,Casino,4bf58dd8d48988d17c941735,"51.4753,0.272246"
Tap East,4e6f66aeaeb74b05753dca03,8.3,I'm not entire sold but aside from The Cow and the casino this is probably the only other place in the new Westfield where you can grab a cheeky pint. The selection on offer is unrivalled.,Brewery,50327c8591d4c4b30a586d5d,"51.5441193924,-0.00881275504842"
The Cow,4e3a8cdfb3ade614e1272dc6,6.1,Fucking awful service. Go to the casino instead if you want sport,Pub,4bf58dd8d48988d11b941735,"51.5421796199,-0.00826416559531"
Heart in Art Workshops,595521a89ec39950dc815574,,,Circus,52e81612bcbc57f1066b79e7,"51.484911,-0.111676"
Zippo's Christmas Circus,4d0a415533d6b60cc3709985,,,Circus,52e81612bcbc57f1066b79e7,"51.5061758213,-0.157095239737"
Moscow State Circus,59cf91dead910e06812cfb2a,,,Circus,52e81612bcbc57f1066b79e7,"51.558266,-0.167286"
Diamond Disco Services,59f56e61840fc20a1ddc070c,,,Circus,52e81612bcbc57f1066b79e7,"51.3071024,0.2093616"
Circus Fantasia,595b80bce2ead1076c3e9a3e,,,Circus,52e81612bcbc57f1066b79e7,"51.592144,-0.19982424"
Jaimies Castles,59cb89c759c423139c2611f5,,,General Entertainment,4bf58dd8d48988d1f1931735,"51.324697,-0.1996989"
The Albany,4ac518eaf964a52005ac20e3,8.0,"Always some great independent touring theatre productions, poetry and open mic nights.",Comedy Club,4bf58dd8d48988d18e941735,"51.4777402352,-0.0276079847273"
Up the Creek,4ac518c5f964a520bba420e3,6.8,Check out the Sunday Special for awesome comedians every week!,Comedy Club,4bf58dd8d48988d18e941735,"51.4814667231,-0.0116150324026"
The Star,4feb67fee4b00d7f2c5e775a,,"Refurbished in summer 2015, it's far more upbeat, with interior & exterior (especially garden) done up very nicely. Great atmosphere & service, good drinks & food. Quality comedy club nights launched.",Pub,4bf58dd8d48988d11b941735,"51.4809795815,0.0792239675782"
Instant laughs,581a425ea1203575a956a22f,,,Comedy Club,4bf58dd8d48988d18e941735,"51.5450940269,0.00450611114502"
Brick Lane Music Hall,4ac518e8f964a52097ab20e3,7.8,What a wonderful afternoon entertainment with very nice sandwiches and cakes,Concert Hall,5032792091d4c4b30a586d5c,"51.5026354061,0.0428804755211"
VIP Club Lounge,4cf6aec366585481abbbca98,7.4,Two for one cocktails good value,Lounge,4bf58dd8d48988d121941735,"51.5022613846,0.00409829390562"
The O2 Arena,4ac518eaf964a52007ac20e3,9.1,The AR Rahman concert was great. Amazing hall with huge seating capacity.,Music Venue,4bf58dd8d48988d1e5931735,"51.5029737935,0.00409617445395"
Troxy,4ac518eaf964a520f4ab20e3,7.6,its gorgeous when your drunk,Concert Hall,5032792091d4c4b30a586d5c,"51.5128070746,-0.044016279425"
Indigo at The O2,4ac518e9f964a520d6ab20e3,7.6,Love this place. Variety choice for food. Enjoy movie in cineworld. And concert hall. Exhibition. Or have some drinking session. Occasionally with skate available. Sometime unexpected new stuffs.,Music Venue,4bf58dd8d48988d1e5931735,"51.5024317147,0.00466203052933"
Blackheath Halls,4ac518e9f964a520bfab20e3,6.4,,Concert Hall,5032792091d4c4b30a586d5c,"51.4643801638,0.00957034378305"
REBOOT OFFICE,59b05492c876c830f32984ae,,,Country Dance Club,52e81612bcbc57f1066b79ef,"51.4861327,-0.0635525"
BELLYDANCE BODY MIND,59da15b8c876c86d27754112,,,Country Dance Club,52e81612bcbc57f1066b79ef,"51.5371881,-0.1405122"
DANCE BODY MIND,59da15bd0d2be73017188d18,,,Country Dance Club,52e81612bcbc57f1066b79ef,"51.5371881,-0.1405122"
Dorian MEKNI,59d21c881ffed729e14d9ce5,,,Country Dance Club,52e81612bcbc57f1066b79ef,"51.4935235,-0.1689508"
National Maritime Museum,4ac518d2f964a52040a720e3,8.7,Go past Paul on 1st floor to find the best exhibits.,History Museum,4bf58dd8d48988d190941735,"51.4813292233,-0.0055809605092"
The Crown Jewels,4db4228e81543d71da3ef5a4,8.9,"Go see the Crown Jewels early, before the queue starts. Have lunch before 12 at the Cafe. The lamb and rice was excellent. Then, see the White Tower while everyone else is having lunch.",Exhibit,56aa371be4b08b9a8d573532,"51.5086257738,-0.0754760702378"
The Crystal,4f1d3b77e4b0c7ea69c86c47,7.5,Amazing exhibit,Science Museum,4bf58dd8d48988d191941735,"51.5072101735,0.0167774156589"
The Nunnery,4c10bc495a43d13aaecb174b,7.8,"Art off the beaten track in Bow, East London, just keep an eye on their schedule of exhibits - http://www.bowarts.org/nunnery",Art Gallery,4bf58dd8d48988d1e2931735,"51.5292141882,-0.0169734915194"
Cutty Sark,4f22df5ee4b0020c2d201e70,8.7,The boat itself is nice but the exhibit is not so interesting.,History Museum,4bf58dd8d48988d190941735,"51.482812733,-0.00961303710938"
The Rosetta Stone,4dac5d654df01c19b1b28234,8.5,"Err. You mean the original translation ""hardware"" right? 😜",Exhibit,56aa371be4b08b9a8d573532,"51.519302493,-0.127416422027"
The Parthenon Rooms,4e789a57d22dc865f103ca43,8.4,Give them to greece!!!!,Exhibit,56aa371be4b08b9a8d573532,"51.518977266,-0.127983914089"
Royal Observatory,4ac518cef964a5203aa620e3,8.6,Very interesting exhibits about the early days of astronomy. Check out Yuri Gagarin's statue.,Observatory,5744ccdfe4b0c0459246b4d9,"51.4771332098,-0.00075101852417"
Greenwich Meridian,4e9c655cb63497cdaa96ce75,9.1,It's not just the meridian line that you are paying 7 pounds for. Museum exhibit makes it worth the cost. Take your time. You could easily spend 2 hours here.,Historic Site,4deefb944765f83613cdba6e,"51.4779432265,-0.00164451601912"
My Name Is Prince,59f22d5b3b83077c090bdc7c,,Brilliant exhibition! VIP section well worth it.,Exhibit,56aa371be4b08b9a8d573532,"51.504177,0.0035750493"
Frieze London,57f64892498ef88b4ad8635d,7.0,Like going to 100 museums in one go. Perfect,Exhibit,56aa371be4b08b9a8d573532,"51.525502,-0.148811"
Sensational Butterflies,55916efa498e718477d6bf0c,7.3,Seasonal butterfly house. A lovely 30mins and some beautiful creatures. Open until mid-September,Exhibit,56aa371be4b08b9a8d573532,"51.496014,-0.17446093"
Royal Beast Exhibition,50ab8d90e4b082c93a775045,,Nothing much interesting. It can be funny for little kids. Just a few facts about tower exotic animals collection and some interactive boards which help you to understand the question better.,Exhibit,56aa371be4b08b9a8d573532,"51.5084776551,-0.0755163841686"
Bond in Motion Exhibition,533055a5498e7554adfcd113,6.1,Don't miss the storyboards and concept artwork upstairs. Amazing detail in them all.,Exhibit,56aa371be4b08b9a8d573532,"51.5123890601,-0.121110735314"
Basquiat : Boom For Real,59e1f46f7247504b4ff1ce6d,,,Exhibit,56aa371be4b08b9a8d573532,"51.519924,-0.09317625"
Diana Her Fashion Story,58e64df180e1af7648c22673,6.7,A little underwhelming,Exhibit,56aa371be4b08b9a8d573532,"51.5053843438,-0.187685982377"
T.Rex,511b79e0e4b00262d60adb6d,6.5,Please do not feed the T.rex,Exhibit,56aa371be4b08b9a8d573532,"51.496335084,-0.17642551251"
Grayson Perry: The Tomb of the Unknow Craftsman,4f12e5d8e4b0253d4e32610c,,,Exhibit,56aa371be4b08b9a8d573532,"51.5194849286,-0.126781234575"
Mausoleum of Halikarnassos,55db117a498e9a2bc0b2403b,,Loads of piers and artifacts from one of the 7 wonders of the ancient world,Exhibit,56aa371be4b08b9a8d573532,"51.5193443298,-0.127260759473"
Hoa Hakananai'a Easter Island Statue,500c189ee4b099ec3729c162,,Massive statue from the Easter Islands,Exhibit,56aa371be4b08b9a8d573532,"51.5198792945,-0.127372741699"
The Korea foundation Gallery,541d7b0f498e3fbc999c77c9,,Korean arts,Exhibit,56aa371be4b08b9a8d573532,"51.520068958,-0.127662030741"
