tips,lem_words,lem_tags,word_tags,lng,lat
"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.",great fun be have everyone aquarium be small fee enter summer have jazz band play bandstand,JJ NN VB VB NN NN VB JJ NN VB NN VB NN NN VB NN,"[great/JJ, fun/NN, be/VB, have/VB, everyone/NN, aquarium/NN, be/VB, small/JJ, fee/NN, enter/VB, summer/NN, have/VB, jazz/NN, band/NN, play/VB, bandstand/NN]",51.4409815123,-0.0613689422607
Love this place my new local shop,love place new local shop,VB NN JJ JJ NN,"[love/VB, place/NN, new/JJ, local/JJ, shop/NN]",51.4669013,0.0528256
"Enter our prize draw to win a family ticket to Sea Life. And if you don’t win, not to worry! Simply grab yourself a free 2 for 1 voucher and get 2 for 1 entry to any Sea Life location across the UK.",prize draw win family ticket sea life don win not worry simply grab free voucher get entry sea life location uk,NN NN VB NN NN NN NN VB VB RB VB RB VB JJ NN VB NN NN NN NN NN,"[prize/NN, draw/NN, win/VB, family/NN, ticket/NN, sea/NN, life/NN, don/VB, win/VB, not/RB, worry/VB, simply/RB, grab/VB, free/JJ, voucher/NN, get/VB, entry/NN, sea/NN, life/NN, location/NN, uk/NN]",51.501711493,-0.119767368051
"If you're pressed for time, head to Hall 2 for the corals; the Amazonian exhibit in Hall 3 is not that exciting.",re press time head hall coral amazonian exhibit hall be not exciting,NN VB NN NN NN NN JJ NN NN VB RB JJ,"[re/NN, press/VB, time/NN, head/NN, hall/NN, coral/NN, amazonian/JJ, exhibit/NN, hall/NN, be/VB, not/RB, exciting/JJ]",51.5352960617,-0.155888708427
Sea lion shows at 12pm and 3pm daily,sea lion show pm pm daily,NN NN VB NN NN RB,"[sea/NN, lion/NN, show/VB, pm/NN, pm/NN, daily/RB]",51.3495168852,-0.315634863588
"Great place for beer and video games, both arcade and console formats (Sega, Nintendo and Sony). Good outdoor seating by the canal :D",great place beer video game arcade console format sega nintendo sony good outdoor seating canal,JJ NN NN JJ NN NN VB NN VB RB NN JJ JJ NN NN,"[great/JJ, place/NN, beer/NN, video/JJ, game/NN, arcade/NN, console/VB, format/NN, sega/VB, nintendo/RB, sony/NN, good/JJ, outdoor/JJ, seating/NN, canal/NN]",51.5469033096,-0.0243907579104
Free foosball in the bar!,free foosball bar,JJ NN NN,"[free/JJ, foosball/NN, bar/NN]",51.575568781,0.179667461709
Including STATE OF THE ART arcade,include state art arcade,VB NN NN NN,"[include/VB, state/NN, art/NN, arcade/NN]",51.4627149497,-0.0085972969013
Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,really good value money hold birthday party little one bowling shoe be red black go colour be fine,RB JJ NN NN VB NN NN JJ NN NN NN VB JJ JJ VB NN VB JJ,"[really/RB, good/JJ, value/NN, money/NN, hold/VB, birthday/NN, party/NN, little/JJ, one/NN, bowling/NN, shoe/NN, be/VB, red/JJ, black/JJ, go/VB, colour/NN, be/VB, fine/JJ]",51.4963091031,-0.0430503430566
"Cheap, average quality and clean.",cheap average quality clean,JJ NN NN JJ,"[cheap/JJ, average/NN, quality/NN, clean/JJ]",51.5258536199,-0.0313950544747
"Cool gallery, worth a visit",cool gallery worth visit,JJ NN VB NN,"[cool/JJ, gallery/NN, worth/VB, visit/NN]",51.500323233,0.00465396977695
"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.",describe probably finest dine hall western world be also lord nelson lay state death battle trafalgar thousand come pay respect,VB RB JJ VB NN JJ NN VB RB NN NN VB NN NN NN NN NN VB VB NN,"[describe/VB, probably/RB, finest/JJ, dine/VB, hall/NN, western/JJ, world/NN, be/VB, also/RB, lord/NN, nelson/NN, lay/VB, state/NN, death/NN, battle/NN, trafalgar/NN, thousand/NN, come/VB, pay/VB, respect/NN]",51.4829669049,-0.00609366277314
