tips,ll
"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.","51.4409815123,-0.0613689422607"
Love this place my new local shop,"51.4669013,0.0528256"
"Enter our prize draw to win a family ticket to Sea Life. And if you don’t win, not to worry! Simply grab yourself a free 2 for 1 voucher and get 2 for 1 entry to any Sea Life location across the UK.","51.501711493,-0.119767368051"
"If you're pressed for time, head to Hall 2 for the corals; the Amazonian exhibit in Hall 3 is not that exciting.","51.5352960617,-0.155888708427"
Sea lion shows at 12pm and 3pm daily,"51.3495168852,-0.315634863588"
"Great place for beer and video games, both arcade and console formats (Sega, Nintendo and Sony). Good outdoor seating by the canal :D","51.5469033096,-0.0243907579104"
Free foosball in the bar!,"51.575568781,0.179667461709"
Including STATE OF THE ART arcade,"51.4627149497,-0.0085972969013"
Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,"51.4963091031,-0.0430503430566"
"Cheap, average quality and clean.","51.5258536199,-0.0313950544747"
"Cool gallery, worth a visit","51.500323233,0.00465396977695"
"Described as ‘probably the finest dining hall in the Western world’, this is also where Lord Nelson lay in state after his death at the Battle of Trafalgar. Thousands came to pay their respects.","51.4829669049,-0.00609366277314"
"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.","51.4812759906,-0.00394821166992"
"Really good coffee, if its busy its still worth the wait. Great food too, friendly staff and amazing windows upstairs... Shame about the view!","51.5400824936,-0.0209389374755"
The pizzas look amazing. Will be back to try ...  And cheap good prosecco,"51.543053251,-0.0220629993382"
Nice little gallery with rotating exhibitions.,"51.5292141882,-0.0169734915194"
Nice historic images of London. It's worth popping in.,"51.5433047834,-0.00827849188575"
"Great coffee, very reasonably priced small foods, great cake. Lovely place to work","51.5126513276,-0.0385495885481"
"If you love bands but want something different in the way of artwork to represent your love for them, this is the place to go. Limited ed prints. Tour posters with a twist. It has it all!","51.4816676005,-0.00909757663917"
"Lovely community centre. Sometimes open to the public as a bar. Local bands play and the wine is nice. Nice informal, don't feel rushed.","51.5502521975,-0.0429009357443"
Fantastic brunch. Great coffee and local beer. Amazing hot chocolate. Love it here.,"51.5353874141,-0.0132037689468"
"The world’s only museum dedicated to fans. It’s a tiny space consisting of two rooms with an overall collection of 3,500 antique fans, some of which date as far back as the eleventh century.","51.4792666151,-0.00799764466221"
Atm there's Bao-Hoo art show at the gallery next door,"51.5290326145,-0.0178915234045"
Tell people that the toilet in the end police cell is haunted and then flush the loo from the outside while they're in there. Mwa ha haaaaaa!,"51.4794793158,-0.0317190910236"
Great landlord has injected new life in to this place. Traditional boozer. Lewisham's Pub of the Year 2010. Basement art gallery called Tank too.,"51.4564845734,-0.0215023055214"
Magical place for weekend trip. Great for music lovers! You can also go on top of the lighthouse and have a view of Canary Wharf skyscrapers 💓,"51.5077109093,0.00820328504559"
Lovely light airy studios and an Arts Award training centre. The Nunnery in particular is a wonderful space for gallery exhibitions and events.,"51.5289472449,-0.0175755939443"
Be sure to visit the roof terrace for great views.,"51.539364,-0.02144"
Super interesting gallery nearby the canal!,"51.5267560654,-0.03790964228"
The new breakfast frontier! The food is amazing and the atmosphere is very good. Amazing staff. Highly recommended!!!,"51.531273705,-0.0386023521423"
"Bar staff don't know how to work a bar, slow & clueless.","51.5326713029,0.137593099739"
Buy any third game for just £1 (pp),"51.4627149497,-0.0085972969013"
Great milkshakes - Reese's & Oreo are both a hit.,"51.5427293308,-0.00726056378661"
Free foosball in the bar!,"51.575568781,0.179667461709"
"Trinity Chapel Church is also located in Jenkins Lane, at the former bowling alley....","51.5264329978,0.0804568928427"
"Book in advance, lanes get filled quick! Especially on the weekends.","51.4567017283,0.138167681493"
Quiet like a graveyard on a Thursday night. Bar staff are hopeless at making drinks.,"51.5036271483,0.00328302383423"
Really good value for money!! They can hold birthday party's for the little ones but the bowling shoes are Red and Black so go in those colours and you will be fine!!,"51.4963091031,-0.0430503430566"
you can trade here with john lewis pillows,"51.5426501912,-0.00641376614963"
I'm not entire sold but aside from The Cow and the casino this is probably the only other place in the new Westfield where you can grab a cheeky pint. The selection on offer is unrivalled.,"51.5441193924,-0.00881275504842"
Fucking awful service. Go to the casino instead if you want sport,"51.5421796199,-0.00826416559531"
"Always some great independent touring theatre productions, poetry and open mic nights.","51.4777402352,-0.0276079847273"
Check out the Sunday Special for awesome comedians every week!,"51.4814667231,-0.0116150324026"
"Refurbished in summer 2015, it's far more upbeat, with interior & exterior (especially garden) done up very nicely. Great atmosphere & service, good drinks & food. Quality comedy club nights launched.","51.4809795815,0.0792239675782"
What a wonderful afternoon entertainment with very nice sandwiches and cakes,"51.5026354061,0.0428804755211"
Two for one cocktails good value,"51.5022613846,0.00409829390562"
The AR Rahman concert was great. Amazing hall with huge seating capacity.,"51.5029737935,0.00409617445395"
its gorgeous when your drunk,"51.5128070746,-0.044016279425"
Love this place. Variety choice for food. Enjoy movie in cineworld. And concert hall. Exhibition. Or have some drinking session. Occasionally with skate available. Sometime unexpected new stuffs.,"51.5024317147,0.00466203052933"
Go past Paul on 1st floor to find the best exhibits.,"51.4813292233,-0.0055809605092"
"Go see the Crown Jewels early, before the queue starts. Have lunch before 12 at the Cafe. The lamb and rice was excellent. Then, see the White Tower while everyone else is having lunch.","51.5086257738,-0.0754760702378"
Amazing exhibit,"51.5072101735,0.0167774156589"
"Art off the beaten track in Bow, East London, just keep an eye on their schedule of exhibits - http://www.bowarts.org/nunnery","51.5292141882,-0.0169734915194"
The boat itself is nice but the exhibit is not so interesting.,"51.482812733,-0.00961303710938"
"Err. You mean the original translation ""hardware"" right? 😜","51.519302493,-0.127416422027"
Give them to greece!!!!,"51.518977266,-0.127983914089"
Very interesting exhibits about the early days of astronomy. Check out Yuri Gagarin's statue.,"51.4771332098,-0.00075101852417"
It's not just the meridian line that you are paying 7 pounds for. Museum exhibit makes it worth the cost. Take your time. You could easily spend 2 hours here.,"51.4779432265,-0.00164451601912"
Brilliant exhibition! VIP section well worth it.,"51.504177,0.0035750493"
Like going to 100 museums in one go. Perfect,"51.525502,-0.148811"
Seasonal butterfly house. A lovely 30mins and some beautiful creatures. Open until mid-September,"51.496014,-0.17446093"
Nothing much interesting. It can be funny for little kids. Just a few facts about tower exotic animals collection and some interactive boards which help you to understand the question better.,"51.5084776551,-0.0755163841686"
Don't miss the storyboards and concept artwork upstairs. Amazing detail in them all.,"51.5123890601,-0.121110735314"
A little underwhelming,"51.5053843438,-0.187685982377"
Please do not feed the T.rex,"51.496335084,-0.17642551251"
Loads of piers and artifacts from one of the 7 wonders of the ancient world,"51.5193443298,-0.127260759473"
Massive statue from the Easter Islands,"51.5198792945,-0.127372741699"
Korean arts,"51.520068958,-0.127662030741"
Asian arts,"51.520136,-0.127747"
We hand over our data willingly in return for services. But do we really appreciate just how much data we are sharing with the world around us? Thought provoking.,"51.512454,-0.128836"
A walk in JK Rawlings mind,"51.529684,-0.127597"
"Bilime gercekten merakliysaniz, bir gün planlayin.","51.496117,-0.17531556"
"The gorillas at feeding time can be very entertaining, especially the silverback, he's crazy!","51.3481645194,-0.315086531664"
Brilliant. So well thought out; even the stairs to the slide are 1/2 height so littl'uns can manage on their own. Can never get LM to leave! (FYI cafe not great.) Check website for events/story times.,"51.539106516,-0.000351087343517"
"Mid scale theatre, lots of short run productions from touring companies across the UK. Very relaxed atmostphere, interesting shows, low cost tickets, locally brewed beer!","51.4795306132,-0.00763741502082"
Don't miss the flight sim - definitely worth the money!,"51.4999151611,0.00834788821224"
Great for kids,"51.5429440045,0.00170042126008"
"You'll need to be a subsciber of Sky and prebook your admission at sky.com before attending here, as it's for members only with limited space inside.","51.5023680696,0.00240854359453"
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus !!!!,"51.5326054528,0.137629313227"
Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus '''',"51.5702014344,0.128724575043"
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus """"","51.450967,0.046834"
Go check it out...,"51.501218515,0.00587097969592"
"Claim £30 Free - Deposit £10. Play with £40. A great way to explore all the fun online @MeccaBingo http://ow.ly/wHfUt #MeccaBonus ,,,,","51.5631498418,0.215162582953"
